Measured,irMin,irMax,irMean
1,0.0388235294118,1.96705882353,1.77423529412,
2,1.96705882353,2.97647058824,2.87552941176,
3,2.97647058824,2.97647058824,2.97647058824,
4,2.87294117647,2.97647058824,2.88329411765,
5,2.44588235294,2.87294117647,2.48858823529,
6,2.08352941176,2.44588235294,2.11976470588,
7,1.91529411765,2.08352941176,1.93211764706,
8,1.65647058824,1.91529411765,1.68235294118,
9,1.54,1.65647058824,1.55164705882,
10,1.33294117647,1.54,1.35364705882,
11,1.15176470588,1.33294117647,1.16988235294,
12,1.04823529412,1.15176470588,1.05858823529,
13,0.983529411765,1.04823529412,0.99,
14,0.918823529412,0.983529411765,0.925294117647,
15,0.867058823529,0.918823529412,0.872235294118,
16,0.815294117647,0.867058823529,0.820470588235,
17,0.776470588235,0.815294117647,0.780352941176,
18,0.724705882353,0.776470588235,0.729882352941,
19,0.698823529412,0.724705882353,0.701411764706,
20,0.647058823529,0.698823529412,0.652235294118,
25,0.491764705882,0.543529411765,0.496941176471,
30,0.401176470588,0.491764705882,0.410235294118,
35,0.336470588235,0.401176470588,0.342941176471,
40,0.284705882353,0.336470588235,0.289882352941,
45,0.258823529412,0.284705882353,0.261411764706,
50,0.22,0.258823529412,0.223882352941,
55,0.116470588235,0.22,0.126823529412,
60,0.116470588235,0.22,0.209647058824,
65,0.181176470588,0.22,0.185058823529,
70,0.142352941176,0.181176470588,0.146235294118,
75,0.116470588235,0.142352941176,0.119058823529,
80,0.0647058823529,0.116470588235,0.0698823529412,
85,0.0647058823529,0.116470588235,0.111294117647,
90,0.0776470588235,0.116470588235,0.0815294117647,
95,0.0647058823529,0.0776470588235,0.066,
100,0.0647058823529,0.103529411765,0.0996470588235,
105,0.0388235294118,0.103529411765,0.0452941176471,
110,0.0388235294118,0.0388235294118,0.0388235294118,
115,0.0388235294118,0.0388235294118,0.0388235294118,
120,0.0388235294118,0.0388235294118,0.0388235294118,
125,0.0258823529412,0.0388235294118,0.0271764705882,
130,0.0258823529412,0.0388235294118,0.0375294117647,
135,0.0258823529412,0.0388235294118,0.0271764705882,
140,0.0258823529412,0.0388235294118,0.0375294117647,
145,0.0388235294118,0.0388235294118,0.0388235294118,
150,0.0388235294118,0.0388235294118,0.0388235294118,
